Fragment,Count,Time (ms),Size (bytes)
Canonical.summary,4,7,4183
Canonical.summary-table,4,5,4183
CodeSystem.changes,4,0,0
CodeSystem.content,4,3,2002
CodeSystem.nsinfo,4,5,0
CodeSystem.summary,4,6,4103
CodeSystem.summary-table,4,6,4103
CodeSystem.xref,4,2,324
Cross.canonical-index,3,0,10224
Cross.codesystem-list,3,1,1188
Cross.codesystem-ref-all-list,3,6,16728
Cross.codesystem-ref-list,3,3,2717
Cross.cross-version-analysis,3,0,873
Cross.cross-version-analysis-inline,3,0,846
Cross.deleted-extensions,3,1499,36
Cross.dependency-table,3,0,80940
Cross.dependency-table-nontech,3,0,13392
Cross.dependency-table-short,3,0,65943
Cross.deprecated-list,3,1477,84
Cross.expansion-params,3,0,0
Cross.extension-list,3,2,4902
Cross.extension-list-,621,211,1015635
Cross.extension-search,3,0,57
Cross.extension-search-list,453,10,8607
Cross.globals-table,3,0,192
Cross.ip-statements,3,15,12095
Cross.list-accounts,3,1,0
Cross.list-accounts-json,3,37,0
Cross.list-accounts-xml,3,76,0
Cross.list-activitydefinitions,3,1,0
Cross.list-activitydefinitions-json,3,20,0
Cross.list-activitydefinitions-xml,3,41,0
Cross.list-actordefinitions,3,3,270
Cross.list-actordefinitions-json,3,31,285
Cross.list-actordefinitions-xml,3,58,282
Cross.list-adverseevents,3,1,0
Cross.list-adverseevents-json,3,31,0
Cross.list-adverseevents-xml,3,59,0
Cross.list-allergyintolerances,3,1,0
Cross.list-allergyintolerances-json,3,14,0
Cross.list-allergyintolerances-xml,3,27,0
Cross.list-appointmentresponses,3,0,0
Cross.list-appointmentresponses-json,3,27,0
Cross.list-appointmentresponses-xml,3,56,0
Cross.list-appointments,3,1,0
Cross.list-appointments-json,3,37,0
Cross.list-appointments-xml,3,75,0
Cross.list-auditevents,3,0,0
Cross.list-auditevents-json,3,34,0
Cross.list-auditevents-xml,3,63,0
Cross.list-basics,3,2,0
Cross.list-basics-json,3,35,0
Cross.list-basics-xml,3,61,0
Cross.list-binaries,3,1,930
Cross.list-binaries-json,3,34,975
Cross.list-binaries-xml,3,65,966
Cross.list-biologicallyderivedproducts,3,2,0
Cross.list-biologicallyderivedproducts-json,3,18,0
Cross.list-biologicallyderivedproducts-xml,3,33,0
Cross.list-bodystructures,3,0,0
Cross.list-bodystructures-json,3,28,0
Cross.list-bodystructures-xml,3,56,0
Cross.list-bundles,3,2,255
Cross.list-bundles-json,3,31,270
Cross.list-bundles-xml,3,67,267
Cross.list-byid-accounts,3,0,0
Cross.list-byid-accounts-json,3,36,0
Cross.list-byid-accounts-xml,3,68,0
Cross.list-byid-activitydefinitions,3,1,0
Cross.list-byid-activitydefinitions-json,3,31,0
Cross.list-byid-activitydefinitions-xml,3,57,0
Cross.list-byid-actordefinitions,3,2,270
Cross.list-byid-actordefinitions-json,3,41,285
Cross.list-byid-actordefinitions-xml,3,76,282
Cross.list-byid-adverseevents,3,2,0
Cross.list-byid-adverseevents-json,3,34,0
Cross.list-byid-adverseevents-xml,3,65,0
Cross.list-byid-allergyintolerances,3,1,0
Cross.list-byid-allergyintolerances-json,3,18,0
Cross.list-byid-allergyintolerances-xml,3,34,0
Cross.list-byid-appointmentresponses,3,1,0
Cross.list-byid-appointmentresponses-json,3,24,0
Cross.list-byid-appointmentresponses-xml,3,48,0
Cross.list-byid-appointments,3,0,0
Cross.list-byid-appointments-json,3,36,0
Cross.list-byid-appointments-xml,3,75,0
